top_category,order_count,late_count,late_rate,avg_price,avg_delivery_days,avg_weight,late_rate_pct
garden_tools,3411,274,0.08032834945763706,128.68786279683377,13.20257988859572,2949.079522553084,8.03
furniture_bedroom,88,7,0.07954545454545454,207.85500000000002,13.375,9650.16909090909,7.95
cine_photo,63,5,0.07936507936507936,109.49761904761905,10.031746031746032,1244.3373015873017,7.94
stationery,2240,175,0.078125,99.15271875,12.363839285714286,2847.912788690476,7.81
sports_leisure,7477,582,0.07783870536311355,123.15524408185101,11.797378627791895,1673.5061428380366,7.78
art,194,15,0.07731958762886598,94.0716494845361,10.79896907216495,1557.3556701030927,7.73
computers_accessories,6519,503,0.07715907347752723,129.9765178708391,12.731553919312779,912.0467448995244,7.72
toys,3758,284,0.07557211282597126,123.26790846194784,11.294837679616817,1865.1377718644667,7.56
perfumery,3069,228,0.07429130009775171,127.06147930922124,11.466275659824047,496.3853046594982,7.43
dvds_blu_ray,55,4,0.07272727272727272,75.04709090909091,12.527272727272727,498.1818181818182,7.27
home_appliances_2,226,16,0.07079646017699115,386.89424778761065,13.4070796460177,8787.146371681414,7.08
housewares,5670,399,0.07037037037037037,105.25281305114638,10.646384479717813,3223.4976114890396,7.04
costruction_tools_garden,186,13,0.06989247311827956,128.25021505376344,11.559139784946236,2363.183584229391,6.99
small_appliances_home_oven_and_coffee,72,5,0.06944444444444445,519.4383333333333,9.5,4963.083333333333,6.94
cool_stuff,3516,242,0.06882821387940842,169.172295221843,11.945676905574517,2575.3098523755352,6.88
books_general_interest,494,34,0.06882591093117409,91.78018218623482,11.105263157894736,753.8390688259109,6.88
computers,176,12,0.06818181818181818,875.1103977272727,13.5,6619.275227272727,6.82
home_appliances,747,50,0.06693440428380187,102.935046854083,10.88888888888889,1878.2615261044175,6.69
drinks,285,19,0.06666666666666667,70.832,9.919298245614035,821.4991228070176,6.67
fashion_bags_accessories,1816,121,0.06662995594713657,81.40069933920705,10.75715859030837,383.64765785609393,6.66
tablets_printing_image,76,5,0.06578947368421052,95.73039473684211,12.671052631578947,306.44736842105266,6.58
fashion_shoes,233,15,0.06437768240343347,98.42343347639485,15.253218884120171,1076.967095851216,6.44
food_drink,220,14,0.06363636363636363,68.56072727272728,10.436363636363636,1232.33,6.36
pet_shop,1679,106,0.0631328171530673,123.30379988088147,10.93627159023228,2856.415894381576,6.31
small_appliances,604,38,0.06291390728476821,251.00332781456956,10.562913907284768,3041.962759381898,6.29
costruction_tools_tools,97,6,0.061855670103092786,142.13350515463918,11.762886597938145,1190.2164948453608,6.19
signaling_and_security,137,8,0.058394160583941604,140.50912408759123,10.416058394160585,3469.5643795620426,5.84
luggage_accessories,1011,55,0.05440158259149357,136.18378832838772,10.415430267062314,5542.108367952521,5.44
fixed_telephony,212,11,0.05188679245283019,154.82405660377358,12.080188679245284,549.7122641509434,5.19
agro_industry_and_commerce,177,9,0.05084745762711865,329.0293785310734,11.0,3896.4687005649716,5.08
market_place,264,13,0.04924242424242424,99.26185606060606,11.943181818181818,1110.0737878787877,4.92
fashion_male_clothing,106,5,0.04716981132075472,98.60688679245283,12.377358490566039,587.3427672955975,4.72
kitchen_dining_laundry_garden_furniture,236,11,0.046610169491525424,190.03258474576273,11.521186440677965,7713.984745762709,4.66
construction_tools_safety,155,7,0.04516129032258064,219.88006451612907,11.23225806451613,884.2924731182796,4.52
air_conditioning,246,10,0.04065040650406504,207.01459349593495,11.414634146341463,3880.32081300813,4.07
books_imported,50,2,0.04,88.62719999999999,7.72,627.5,4.0
